ID,Date,Element,Data_Value
GM000010147,2010-02-19,TMAX,65
GM000010147,2006-08-30,TMIN,113
GM000010147,2005-07-26,TMIN,129
GM000010147,2006-09-17,TMIN,162
GM000010147,2006-09-25,TMIN,134
GM000010147,2009-03-25,TMAX,32
GM000010147,2013-04-20,TMAX,125
GM000010147,2011-11-08,TMAX,99
GM000010147,2005-08-03,TMAX,214
GM000010147,2007-06-27,TMIN,102
GM000010147,2007-06-27,TMAX,150
GM000010147,2005-10-26,TMAX,156
GM000010147,2005-07-11,TMAX,276
GM000010147,2008-05-24,TMIN,69
GM000010147,2011-08-09,TMIN,124
GM000010147,2006-03-31,TMAX,110
GM000010147,2010-11-30,TMIN,-59
GM000010147,2007-05-13,TMAX,199
GM000010147,2006-05-12,TMIN,80
GM000010147,2009-02-24,TMIN,-30
GM000010147,2013-12-25,TMIN,16
GM000010147,2015-07-12,TMAX,192
GM000010147,2011-01-07,TMAX,33
GM000010147,2006-06-27,TMIN,127
GM000010147,2011-11-18,TMAX,80
GM000010147,2006-09-25,TMAX,236
GM000010147,2005-05-21,TMAX,209
GM000010147,2011-01-07,TMIN,15
GM000010147,2011-08-09,TMAX,175
GM000010147,2010-08-16,TMIN,147
GM000010147,2005-08-03,TMIN,88
GM000010147,2012-02-18,TMAX,71
GM000010147,2012-07-08,TMAX,267
GM000010147,2015-07-12,TMIN,146
GM000010147,2006-05-12,TMAX,240
GM000010147,2006-10-06,TMIN,119
GM000010147,2006-07-06,TMIN,186
GM000010147,2013-04-20,TMIN,4
GM000010147,2012-07-08,TMIN,133
GM000010147,2008-02-23,TMAX,98
GM000010147,2015-05-19,TMIN,66
GM000010147,2009-03-25,TMIN,-6
GM000010147,2007-05-13,TMIN,94
GM000010147,2010-08-16,TMAX,197
GM000010147,2007-02-01,TMAX,79
GM000010147,2006-04-07,TMAX,123
GM000010147,2013-12-04,TMAX,60
GM000010147,2008-02-23,TMIN,53
GM000010147,2005-05-21,TMIN,124
GM000010147,2011-01-06,TMIN,-31
GM000010147,2005-07-11,TMIN,142
GM000010147,2006-08-30,TMAX,188
